Bayanda Maseko | operation count = 1
Ofentse Radebe | operation count = 809
Olothando Mathebula | operation count = 24
Lubanzi Mogale | operation count = 642
Reatlegile Molefe | operation count = 812
Rethabile Petersen | operation count = 307
Oratile Malatji | operation count = 814
Lubanzi Smith | operation count = 815
Bandile Ndou | operation count = 358
Omaatla Ngcobo | operation count = 817
Naledi Tsotetsi | operation count = 818
Bokang Ndlovu | operation count = 819
Luthando Dyantyi | operation count = 451
Melokuhle Modise | operation count = 821
Luphawu Louw | operation count = 822
Siphosethu Mahlangu | operation count = 823
Lesedi Visagie | operation count = 216
Reatlegile Moeng | operation count = 825
Siphesihle Buthelezi | operation count = 476
Luthando Mudau | operation count = 827
Alunamda Mogale | operation count = 828
Isabella Motaung | operation count = 829
Leano Van | operation count = 830
Omphile Mahlangu | operation count = 660
Othalive Peter | operation count = 832
Lethokuhle Ngcobo | operation count = 833
Junior Dyantyi | operation count = 834
Kamogelo Madikizela | operation count = 835
Lubanzi Dyantyi | operation count = 836
Leah Mudau | operation count = 837
Leah Klaas | operation count = 739
Amohelang Cloete | operation count = 519
Amohelang Gumede | operation count = 840
Amogelang Klaas | operation count = 841
Katlego Nhlapo | operation count = 842
Nkosenhle Tsotetsi | operation count = 107
Lethabo Dyantyi | operation count = 844
Bayanda Madikizela | operation count = 845
Sphesihle Mkhize | operation count = 295
Karabo Maseko | operation count = 847
Alwande Maseko | operation count = 848
Emihle Gumede | operation count = 849
Omaatla Daniels | operation count = 850
Amohelang Nkuna | operation count = 851
Siyabonga Motloung | operation count = 852
Thato Peter | operation count = 853
Thandolwethu Daniels | operation count = 854
Jayden Witbooi | operation count = 855
Phenyo Smith | operation count = 856
Omaatla Shabangu | operation count = 857
Lethabo Ngcobo | operation count = 858
Junior Shabangu | operation count = 493
Katlego Mohlala | operation count = 860
Okuhle Nkosi | operation count = 861
Omolemo Baloyi | operation count = 862
Tshegofatso Daniels | operation count = 863
Lesedi Jacobs | operation count = 864
Rethabile Malatji | operation count = 693
Katleho Abrahams | operation count = 866
Joshua Daniels | operation count = 632
Ofentse Cloete | operation count = 485
Lisakhanya Motloung | operation count = 187
Thandolwethu Abrahams | operation count = 870
Kamogelo Peter | operation count = 871
Katlego Baloyi | operation count = 872
Kamogelo Modise | operation count = 267
Likuwe Mnisi | operation count = 874
Mia Williams | operation count = 875
Karabo Shabangu | operation count = 876
Bokang Shabangu | operation count = 877
Mia Motaung | operation count = 878
Bandile Olyn | operation count = 879
Leah Chauke | operation count = 880
Jayden Mthembu | operation count = 881
Lethabo Ndou | operation count = 196
Oratilwe Dlamini | operation count = 883
Karabo Abrahams | operation count = 884
Joshua Jack | operation count = 885
Onthatile Booysen | operation count = 886
Omaatla Abrahams | operation count = 887
Iminathi Buthelezi | operation count = 888
Jayden Mthembu | operation count = 889
Siphesihle Mahlangu | operation count = 890
Omphile Moloi | operation count = 508
Khayone Dyantyi | operation count = 892
Naledi Maseko | operation count = 621
Kamohelo Louw | operation count = 528
Luke Ngwenya | operation count = 895
Lisakhanya Mathebula | operation count = 896
Alunamda Ngcobo | operation count = 297
Luke Mohlala | operation count = 898
Aphelele Mohlala | operation count = 691
Ava Maseko | operation count = 900
Leano Modise | operation count = 901
Amahle Abrahams | operation count = 299
Othalive Moloi | operation count = 301
Sphesihle Madikizela | operation count = 904
Remofilwe Mosia | operation count = 371
Kungawo Daniels | operation count = 906
Reneilwe Peter | operation count = 907
Reneilwe Abrahams | operation count = 595
Omolemo Nkosi | operation count = 909
Letlotlo Mkhize | operation count = 910
Lesedi Peter | operation count = 911
Asemahle Gumede | operation count = 478
Reatlegile Louw | operation count = 913
Noah Dyantyi | operation count = 914
Bonolo Nhlapo | operation count = 102
Bokamoso Louw | operation count = 916
Joshua Modise | operation count = 723
Enzokuhle Nhlapo | operation count = 918
Philasande Buthelezi | operation count = 919
Alunamda Klaas | operation count = 920
Mpho Booysen | operation count = 921
Jayden Witbooi | operation count = 855
Luthando Mogale | operation count = 923
Karabo Modise | operation count = 924
Othalive Chauke | operation count = 925
Lisakhanya Mathebula | operation count = 896
Rorisang Petersen | operation count = 927
Lethabo Nkosi | operation count = 928
Amahle Khoza | operation count = 929
Amogelang Mosia | operation count = 766
Kamohelo Nkuna | operation count = 931
Katlego Peter | operation count = 932
Kungawo Dlamini | operation count = 933
Reatlegile Ngwenya | operation count = 271
Lethabo Nkosi | operation count = 928
Bokamoso Witbooi | operation count = 936
Liam Ngwenya | operation count = 937
Onthatile Mkhize | operation count = 938
Katleho Mathebula | operation count = 789
Kamogelo Abrahams | operation count = 940
Lingomso Booysen | operation count = 941
Reneilwe Davids | operation count = 942
Katleho Mkhize | operation count = 943
Iminathi Adams | operation count = 944
Noah Tsotetsi | operation count = 556
Asemahle Mathebula | operation count = 946
Blessing Booi | operation count = 947
Lethabo Dyantyi | operation count = 844
Leah Hendricks | operation count = 166
Banele Khumalo | operation count = 950
Onthatile Modise | operation count = 951
Siphesihle Radebe | operation count = 952
Omphile Mahlangu | operation count = 660
Olerato Tsotetsi | operation count = 954
Othalive Smith | operation count = 955
Lisakhanya Klaas | operation count = 272
Lubanzi Klaas | operation count = 957
Mpho Motloung | operation count = 958
Aphelele Ngwenya | operation count = 678
Hlelokuhle Ngwenya | operation count = 960
Bokamoso Davids | operation count = 961
Jayden Petersen | operation count = 962
Thandolwethu Ngcobo | operation count = 963
Amohelang Gumede | operation count = 680
Amohelang Cloete | operation count = 519
Katlego Maseko | operation count = 966
Kungawo Ndou | operation count = 967
Sphesihle Malatji | operation count = 968
Enzokuhle Malatji | operation count = 969
Hlelokuhle Mudau | operation count = 970
Remofilwe Mathebula | operation count = 971
Relebohile Tsotetsi | operation count = 972
Ofentse Ngobeni | operation count = 973
Lingomso Jacobs | operation count = 974
Caleb Buthelezi | operation count = 728
Junior Radebe | operation count = 976
Iminathi Buthelezi | operation count = 977
Lisakhanya Mogale | operation count = 471
Karabo Witbooi | operation count = 979
Tshegofatso Mathebula | operation count = 980
Jayden Gumede | operation count = 981
Esihle Nhlapo | operation count = 982
Relebohile Madikizela | operation count = 983
Karabo Abrahams | operation count = 984
Bokang Abrahams | operation count = 985
Phenyo Mahlangu | operation count = 986
Mpho Abrahams | operation count = 624
Banele Tshabalala | operation count = 988
Lisakhanya Motloung | operation count = 187
Lesedi Sithole | operation count = 467
Mpho Mahlangu | operation count = 991
Karabo Mokoena | operation count = 604
Remofilwe Mohlala | operation count = 156
Rethabile Dlamini | operation count = 484
Karabo Mahlangu | operation count = 995
Caleb Mokoena | operation count = 16
Leano Peter | operation count = 997
Olothando Moeng | operation count = 998
Katleho Mkhize | operation count = 943
Amahle Dyantyi | operation count = 181
Leah Hendricks | operation count = 166
Reatlegile Davids | operation count = 1002
Omaatla Hendricks | operation count = 1003
Oratilwe Motaung | operation count = 1004
Bokang Ngwenya | operation count = 1005
Jayden Moeng | operation count = 186
Reneilwe Gumede | operation count = 1007
Ayabonga Molefe | operation count = 1008
Siyabonga Mudau | operation count = 1009
Reatlegile Modise | operation count = 1010
Othalive Smith | operation count = 1011
Karabo Abrahams | operation count = 1012
Karabo Davids | operation count = 1013
Kamogelo Smith | operation count = 1014
Remofilwe Mathebula | operation count = 971
Oratile Tshabalala | operation count = 1016
Reatlegile Chauke | operation count = 1017
Olothando Jacobs | operation count = 489
Caleb Shabangu | operation count = 1019
Kungawo Khumalo | operation count = 1020
Katlego Mohlala | operation count = 719
Leano Jack | operation count = 1022
Omaatla Khoza | operation count = 1023
Joshua Maseko | operation count = 1024
Olerato Nhlapo | operation count = 623
Lethokuhle Chauke | operation count = 1026
Alunamda Witbooi | operation count = 1027
Khayone Dyantyi | operation count = 1028
Omaatla Dlamini | operation count = 474
Mpho Moloi | operation count = 1030
Onthatile Mosia | operation count = 1031
Omaatla Adams | operation count = 1032
Lingomso Madikizela | operation count = 1033
Oratile Maseko | operation count = 1034
Caleb Mofokeng | operation count = 1035
Noah Jack | operation count = 1036
Junior Van | operation count = 657
Reatlegile Mofokeng | operation count = 1038
Relebohile Olyn | operation count = 781
Katlego Moloi | operation count = 1040
Asemahle Abrahams | operation count = 1041
Khayone Maseko | operation count = 1042
Blessing Buthelezi | operation count = 801
Onthatile Petersen | operation count = 1044
Sphesihle Malatji | operation count = 1045
Letlotlo Tsotetsi | operation count = 1046
Enzokuhle Buthelezi | operation count = 1047
Leah Mofokeng | operation count = 1048
Emihle Booysen | operation count = 1049
Lethabo Olyn | operation count = 1050
Olothando Beukes | operation count = 1051
Lingomso Jacobs | operation count = 974
Thato Peter | operation count = 1053
Kamogelo Modise | operation count = 267
Katlego Dyantyi | operation count = 1055
Lwandle Moloi | operation count = 1056
Aphelele Moloi | operation count = 504
Siphesihle Radebe | operation count = 952
Katleho Gumede | operation count = 1059
Likuwe Klaas | operation count = 1060
Luphawu Jack | operation count = 1061
Amohelang Hendricks | operation count = 1062
Leano Davids | operation count = 1063
Esihle Davids | operation count = 614
Philasande Mokoena | operation count = 1065
Amahle Moloi | operation count = 539
Kungawo Motloung | operation count = 158
Leano Khoza | operation count = 1068
Olerato Radebe | operation count = 1069
Kungawo Mudau | operation count = 1070
Lisakhanya Witbooi | operation count = 1071
Caleb Hendricks | operation count = 1072
Luphawu Louw | operation count = 822
Phenyo Mkhize | operation count = 1074
Asemahle Smith | operation count = 1075
Leah Jacobs | operation count = 450
Mpho Mahlangu | operation count = 991
Kamogelo Ndlovu | operation count = 1078
Emihle Ndlovu | operation count = 1079
Lethabo Smith | operation count = 1080
Lesedi Nkuna | operation count = 1081
Ofentse Davids | operation count = 1082
Bayanda Maluleke | operation count = 1083
Hlelokuhle Olyn | operation count = 1084
Kamogelo Cloete | operation count = 53
Lwandle Khumalo | operation count = 709
Relebohile Madikizela | operation count = 983
Likuwe Motaung | operation count = 347
Thato Peter | operation count = 853
Lethokuhle Shabangu | operation count = 1090
Alunamda Baloyi | operation count = 1091
Thandolwethu Mosia | operation count = 1092
Lubanzi Dyantyi | operation count = 1093
Angel Nkosi | operation count = 1094
Faith Booi | operation count = 82
Onthatile Peter | operation count = 1096
Remofilwe Sithole | operation count = 1097
Lingomso Khumalo | operation count = 1098
Likuwe Peter | operation count = 1099
Ofentse Mosia | operation count = 1100
Lisakhanya Mokoena | operation count = 784
Kungawo Ndou | operation count = 1102
Ofentse Nkosi | operation count = 1103
Melokuhle Radebe | operation count = 1104
Amahle Motaung | operation count = 1105
Lethokuhle Maluleke | operation count = 406
Kamohelo Mthembu | operation count = 1107
Karabo Peter | operation count = 264
Minenhle Molefe | operation count = 1109
Siphosethu Buthelezi | operation count = 1110
Jayden Mnisi | operation count = 1111
Amogelang Peter | operation count = 1112
Noah Motloung | operation count = 1113
Phenyo Shabangu | operation count = 1114
Luphawu Nkuna | operation count = 134
Jayden Ndlovu | operation count = 1116
Angel Modise | operation count = 563
Oratilwe Klaas | operation count = 1118
Jayden Moeng | operation count = 1119
Amohelang Van | operation count = 1120
Lesedi Abrahams | operation count = 67
Luke Witbooi | operation count = 1122
Khayone Visagie | operation count = 1123
Enzokuhle Ngcobo | operation count = 445
Kamogelo Maseko | operation count = 1125
Elijah Sithole | operation count = 785
Esihle Smith | operation count = 1127
Amohelang Malatji | operation count = 1128
Katleho Klaas | operation count = 1129
Reneilwe Mkhize | operation count = 1130
Isabella Mokoena | operation count = 712
Luke Motaung | operation count = 717
Bokamoso Cloete | operation count = 1133
Joshua Ngwenya | operation count = 1134
Amohelang Tsotetsi | operation count = 1135
Lisakhanya Williams | operation count = 1136
Ofentse Petersen | operation count = 1137
Leano Motloung | operation count = 1138
Warona Moloi | operation count = 1139
Amahle Mogale | operation count = 1140
Letlotlo Baloyi | operation count = 1141
Kamohelo Dyantyi | operation count = 1142
Bayanda Tshabalala | operation count = 1143
Jayden Mudau | operation count = 1144
Oratilwe Abrahams | operation count = 1145
Aphelele Mohlala | operation count = 691
Olothando Dlamini | operation count = 1147
Ofentse Hendricks | operation count = 35
Lingomso Jacobs | operation count = 974
Bonolo Witbooi | operation count = 1150
Ofentse Modise | operation count = 1151
Luke Jack | operation count = 1152
Kamogelo Ndlovu | operation count = 780
Nkosenhle Peter | operation count = 1154
Omphile Davids | operation count = 1155
Leah Davids | operation count = 1156
Rethabile Baloyi | operation count = 1157
Kamogelo Jack | operation count = 1158
Olothando Peter | operation count = 1159
Letlotlo Tsotetsi | operation count = 1160
Omaatla Williams | operation count = 1161
Khayone Beukes | operation count = 391
Letlotlo Petersen | operation count = 1163
Esihle Shabangu | operation count = 1164
Olothando Mokoena | operation count = 1165
Omaatla Malatji | operation count = 1166
Okuhle Baloyi | operation count = 1167
Likuwe Jacobs | operation count = 1168
Aphelele Chauke | operation count = 1169
Amahle Khoza | operation count = 929
Lesedi Mohlala | operation count = 1171
Siphesihle Dlamini | operation count = 1172
Lethabo Olyn | operation count = 1173
Ayabonga Ndou | operation count = 88
Bonolo Ndlovu | operation count = 502
Bayanda Nhlapo | operation count = 1176
Philasande Jacobs | operation count = 1177
Warona Motaung | operation count = 417
Rethabile Petersen | operation count = 307
Blessing Ngobeni | operation count = 1180
Mia Dyantyi | operation count = 1181
Junior Ngwenya | operation count = 1182
Siphesihle Mokoena | operation count = 1183
Nkosenhle Jacobs | operation count = 204
Naledi Witbooi | operation count = 1185
Ava Malatji | operation count = 1186
Karabo Ndou | operation count = 1187
Luthando Booi | operation count = 1188
Omaatla Daniels | operation count = 850
Oratile Louw | operation count = 1190
Kamohelo Mohlala | operation count = 1191
Amohelang Booi | operation count = 1192
Khayone Maluleke | operation count = 1193
Asemahle Motloung | operation count = 1194
Katlego Mathebula | operation count = 463
Enzokuhle Abrahams | operation count = 1196
Lethabo Nkuna | operation count = 706
Angel Madikizela | operation count = 1198
Onthatile Mokoena | operation count = 1199
Warona Moloi | operation count = 1139
Joshua Mokoena | operation count = 242
Katlego Mahlangu | operation count = 355
Alunamda Khoza | operation count = 1203
Omolemo Nkosi | operation count = 1204
Faith Mohlala | operation count = 1205
Katlego Maseko | operation count = 966
Karabo Nhlapo | operation count = 1207
Amohelang Davids | operation count = 1208
Kamogelo Molefe | operation count = 1209
Onthatile Mudau | operation count = 1210
Esihle Davids | operation count = 614
Kungawo Mthembu | operation count = 1212
Onthatile Booysen | operation count = 886
Lubanzi Tsotetsi | operation count = 547
Letlotlo Tsotetsi | operation count = 1160
Junior Booi | operation count = 1216
Tshegofatso Baloyi | operation count = 97
Omaatla Maseko | operation count = 1218
Jayden Tshabalala | operation count = 1219
Angel Nhlapo | operation count = 1220
Leano Petersen | operation count = 1221
Angel Louw | operation count = 1222
Likuwe Modise | operation count = 505
Relebohile Booi | operation count = 1224
Emihle Mosia | operation count = 1225
Nkosenhle Jack | operation count = 1226
Warona Motaung | operation count = 407
Minenhle Radebe | operation count = 414
Elijah Molefe | operation count = 1229
Esihle Hendricks | operation count = 1230
Lethokuhle Mahlangu | operation count = 1231
Jayden Gumede | operation count = 1232
Hlelokuhle Shabangu | operation count = 20
Aphelele Mathebula | operation count = 183
Minenhle Petersen | operation count = 1235
Letlotlo Baloyi | operation count = 1236
Lingomso Nkuna | operation count = 1237
Elijah Williams | operation count = 343
Reatlegile Mofokeng | operation count = 1038
Onthatile Maluleke | operation count = 1240
Nkosenhle Maseko | operation count = 1241
Phenyo Nkuna | operation count = 1242
Katlego Chauke | operation count = 1243
Ayabonga Radebe | operation count = 1244
Banele Adams | operation count = 1245
Luphawu Motaung | operation count = 1246
Onthatile Peter | operation count = 1096
Lethokuhle Nkuna | operation count = 1248
Lethokuhle Moloi | operation count = 1249
Lesedi Khumalo | operation count = 649
Lubanzi Mogale | operation count = 642
Sphesihle Klaas | operation count = 1252
Onthatile Smith | operation count = 1253
Luthando Dlamini | operation count = 1254
Leano Witbooi | operation count = 1255
Kamogelo Nkuna | operation count = 1256
Karabo Daniels | operation count = 699
Iminathi Daniels | operation count = 1258
Onthatile Louw | operation count = 1259
Olothando Klaas | operation count = 1260
Kungawo Ndou | operation count = 745
Caleb Shabangu | operation count = 1262
Melokuhle Motloung | operation count = 1263
Enzokuhle Ngcobo | operation count = 395
Amohelang Mathebula | operation count = 1265
Othalive Jack | operation count = 1266
Luke Madikizela | operation count = 1267
Noah Williams | operation count = 135
Siphesihle Jacobs | operation count = 1269
Katlego Malatji | operation count = 1270
Lethokuhle Adams | operation count = 1271
Okuhle Nkosi | operation count = 861
Siphosethu Chauke | operation count = 1273
Iminathi Mogale | operation count = 575
Othalive Hendricks | operation count = 1275
Onthatile Louw | operation count = 565
Mia Mkhize | operation count = 627
Luphawu Jacobs | operation count = 165
Alunamda Dlamini | operation count = 390
Junior Mofokeng | operation count = 66
Amogelang Adams | operation count = 1281
Onthatile Smith | operation count = 1282
Onthatile Mkhize | operation count = 938
Kamogelo Ndlovu | operation count = 1284
Melokuhle Mofokeng | operation count = 1285
Olothando Moloi | operation count = 444
Luphawu Witbooi | operation count = 1287
Asemahle Ndlovu | operation count = 516
Naledi Jacobs | operation count = 1289
Luke Jacobs | operation count = 1290
Onthatile Chauke | operation count = 1291
Rorisang Louw | operation count = 708
Reneilwe Mathebula | operation count = 1293
Thato Booysen | operation count = 1294
Joshua Witbooi | operation count = 1295
Kungawo Shabangu | operation count = 1296
Liam Mogale | operation count = 1297
Oratilwe Mosia | operation count = 1298
Esihle Nhlapo | operation count = 982
Luke Mosia | operation count = 418
Banele Tshabalala | operation count = 1301
Lingomso Olyn | operation count = 1302
Lethabo Motloung | operation count = 36
Bokang Shabangu | operation count = 877
Olothando Mathebula | operation count = 1305
Lisakhanya Williams | operation count = 1136
Luthando Motloung | operation count = 1307
Kamogelo Nkuna | operation count = 1256
Philasande Mokoena | operation count = 10
Junior Khoza | operation count = 1310
Kamogelo Klaas | operation count = 1311
Phenyo Adams | operation count = 1312
Emihle Mthembu | operation count = 1313
Iminathi Abrahams | operation count = 1314
Lethabo Olyn | operation count = 1050
Alunamda Witbooi | operation count = 9
Amahle Mthembu | operation count = 1317
Bayanda Gumede | operation count = 1318
Bokang Smith | operation count = 1319
Lwandle Mokoena | operation count = 1320
Kamogelo Adams | operation count = 1321
Lisakhanya Klaas | operation count = 272
Ava Mahlangu | operation count = 1323
Thato Nkuna | operation count = 1324
Phenyo Motaung | operation count = 239
Katleho Dlamini | operation count = 1326
Lesedi Mathebula | operation count = 1327
Nkosenhle Nkuna | operation count = 434
Lethabo Petersen | operation count = 151
Lisakhanya Mnisi | operation count = 1330
Siyabonga Visagie | operation count = 1331
Lesedi Buthelezi | operation count = 454
Siyabonga Booysen | operation count = 1333
Reatlegile Shabangu | operation count = 1334
Blessing Mnisi | operation count = 1335
Okuhle Petersen | operation count = 1336
Katlego Daniels | operation count = 1337
Joshua Ndou | operation count = 1338
Thandolwethu Abrahams | operation count = 870
Omaatla Shabangu | operation count = 1340
Iminathi Louw | operation count = 46
Rorisang Nkuna | operation count = 1342
Bandile Modise | operation count = 1343
Lethabo Mogale | operation count = 1344
Omaatla Buthelezi | operation count = 1345
Sphesihle Mudau | operation count = 1346
Elijah Dyantyi | operation count = 1347
Iminathi Dyantyi | operation count = 1348
Mia Mnisi | operation count = 1349
Leah Witbooi | operation count = 298
Amohelang Molefe | operation count = 1351
Ava Hendricks | operation count = 697
Amohelang Mahlangu | operation count = 1353
Reneilwe Nkosi | operation count = 536
Othalive Nkosi | operation count = 1355
Enzokuhle Radebe | operation count = 1356
Alunamda Baloyi | operation count = 1091
Lesedi Williams | operation count = 1358
Omaatla Visagie | operation count = 1359
Kamogelo Dyantyi | operation count = 1360
Reneilwe Maseko | operation count = 1361
Sphesihle Motloung | operation count = 1362
Hlelokuhle Chauke | operation count = 1363
Likuwe Williams | operation count = 1364
Alunamda Buthelezi | operation count = 1365
Enzokuhle Tshabalala | operation count = 1366
Bokamoso Klaas | operation count = 1367
Lesedi Nkosi | operation count = 1368
Thato Nhlapo | operation count = 1369
Amogelang Visagie | operation count = 1370
Karabo Olyn | operation count = 1371
Enzokuhle Petersen | operation count = 726
Letlotlo Madikizela | operation count = 1373
Lingomso Olyn | operation count = 1302
Liam Tsotetsi | operation count = 1375
Lebogang Ngwenya | operation count = 1376
Liam Moeng | operation count = 1377
Letlotlo Booi | operation count = 1378
Siphosethu Smith | operation count = 1379
Onthatile Radebe | operation count = 1380
Katlego Moloi | operation count = 1040
Amogelang Jack | operation count = 1382
Kamogelo Dyantyi | operation count = 1360
Remofilwe Khoza | operation count = 1384
Emihle Mofokeng | operation count = 423
Luke Davids | operation count = 1386
Olerato Dyantyi | operation count = 1387
Kamogelo Nhlapo | operation count = 1388
Warona Petersen | operation count = 1389
Onthatile Nkuna | operation count = 1390
Noah Khumalo | operation count = 329
Omphile Witbooi | operation count = 1392
Noah Tsotetsi | operation count = 1393
Kamogelo Klaas | operation count = 1394
Khayone Mofokeng | operation count = 1395
Jayden Madikizela | operation count = 1396
Alwande Shabangu | operation count = 209
Leah Radebe | operation count = 1398
Leano Beukes | operation count = 1399
Luthando Buthelezi | operation count = 1400
Kungawo Daniels | operation count = 1401
Hlelokuhle Nhlapo | operation count = 63
Philasande Nkosi | operation count = 1403
Remofilwe Mogale | operation count = 1404
Katlego Moloi | operation count = 1040
Alunamda Jacobs | operation count = 582
Letlotlo Motaung | operation count = 1407
Thato Maseko | operation count = 1408
Lubanzi Sithole | operation count = 1409
Rorisang Madikizela | operation count = 1410
Lethabo Mohlala | operation count = 1411
Noah Williams | operation count = 135
Likuwe Sithole | operation count = 1413
Luthando Ndlovu | operation count = 1414
Leah Davids | operation count = 1156
Alunamda Jack | operation count = 114
Omphile Smith | operation count = 245
Enzokuhle Mudau | operation count = 1418
Tshegofatso Jacobs | operation count = 1419
Minenhle Witbooi | operation count = 1420
Lisakhanya Jacobs | operation count = 1421
Tshegofatso Mathebula | operation count = 1422
Jayden Peter | operation count = 228
Olerato Mofokeng | operation count = 185
Kamohelo Radebe | operation count = 1425
Liam Mogale | operation count = 1426
Thato Khumalo | operation count = 1427
Ofentse Radebe | operation count = 809
Kamogelo Nhlapo | operation count = 473
Amohelang Booi | operation count = 743
Nkosenhle Mudau | operation count = 1431
Othalive Baloyi | operation count = 1432
Esihle Ngcobo | operation count = 1433
Lethokuhle Ndou | operation count = 695
Letlotlo Mohlala | operation count = 1435
Lubanzi Dyantyi | operation count = 1093
Philasande Mokoena | operation count = 1065
Enzokuhle Motloung | operation count = 1438
Katleho Abrahams | operation count = 866
Katlego Ngwenya | operation count = 1440
Omaatla Daniels | operation count = 850
Aphelele Ngobeni | operation count = 1442
Lethokuhle Van | operation count = 1443
Bandile Baloyi | operation count = 1444
Joshua Cloete | operation count = 540
Blessing Mkhize | operation count = 1446
Ava Van | operation count = 211
Noah Daniels | operation count = 1448
Blessing Petersen | operation count = 1449
Rorisang Witbooi | operation count = 1450
Hlelokuhle Buthelezi | operation count = 1451
Reatlegile Shabangu | operation count = 1334
Leano Ngobeni | operation count = 1453
Alunamda Mahlangu | operation count = 1454
Banele Tshabalala | operation count = 988
Banele Moloi | operation count = 1456
Olerato Mathebula | operation count = 1457
Bokang Khumalo | operation count = 248
Hlelokuhle Malatji | operation count = 1459
Elijah Tshabalala | operation count = 1460
Bandile Buthelezi | operation count = 1461
Amahle Abrahams | operation count = 299
Karabo Mathebula | operation count = 561
Junior Van | operation count = 657
Melokuhle Booi | operation count = 11
Lethabo Moeng | operation count = 774
Junior Nkuna | operation count = 1467
Katleho Khumalo | operation count = 1468
Banele Tshabalala | operation count = 988
Nkosenhle Smith | operation count = 1470
Lubanzi Mosia | operation count = 1471
Mia Mkhize | operation count = 627
Noah Mkhize | operation count = 1473
Lingomso Hendricks | operation count = 1474
Leano Chauke | operation count = 28
Esihle Ngobeni | operation count = 169
Khayone Daniels | operation count = 1477
Tshegofatso Mokoena | operation count = 1478
Katlego Nhlapo | operation count = 842
Junior Ngwenya | operation count = 121
Amohelang Shabangu | operation count = 160
Likuwe Jacobs | operation count = 1168
Ava Radebe | operation count = 1483
Luke Davids | operation count = 1386
Jayden Mudau | operation count = 1144
Bokang Cloete | operation count = 1486
Siphesihle Dlamini | operation count = 1172
Katleho Motloung | operation count = 1488
Bayanda Adams | operation count = 319
Leano Beukes | operation count = 1399
Asemahle Mudau | operation count = 1491
Bokamoso Moloi | operation count = 19
Enzokuhle Williams | operation count = 1493
Banele Maseko | operation count = 1494
Tshegofatso Daniels | operation count = 1495
Blessing Motaung | operation count = 1496
Ofentse Abrahams | operation count = 2
Likuwe Jack | operation count = 1498
Lethokuhle Mahlangu | operation count = 1499
Okuhle Madikizela | operation count = 1500
Mpho Abrahams | operation count = 624
Kamogelo Maseko | operation count = 1502
Katleho Daniels | operation count = 1503
Lethokuhle Mthembu | operation count = 713
Enzokuhle Radebe | operation count = 1505
Mia Mkhize | operation count = 627
Kamohelo Nkuna | operation count = 1507
Onthatile Motaung | operation count = 1508
Likuwe Dyantyi | operation count = 650
Bokamoso Smith | operation count = 542
Letlotlo Mohlala | operation count = 1435
Lethokuhle Maseko | operation count = 1512
Liam Mogale | operation count = 1426
Warona Moloi | operation count = 1514
Siphosethu Visagie | operation count = 106
Katlego Moloi | operation count = 749
Omolemo Chauke | operation count = 1517
Olothando Booi | operation count = 567
Kamogelo Nkuna | operation count = 1256
Phenyo Mahlangu | operation count = 398
Lethokuhle Mudau | operation count = 1521
Minenhle Louw | operation count = 1522
Blessing Mnisi | operation count = 1335
Kamogelo Dyantyi | operation count = 1360
Bokang Baloyi | operation count = 455
Rethabile Khoza | operation count = 1526
Ava Nkosi | operation count = 1527
Lingomso Mudau | operation count = 1528
Omphile Visagie | operation count = 704
Omaatla Moloi | operation count = 1530
Karabo Shabangu | operation count = 1531
Angel Khumalo | operation count = 1532
Lesedi Cloete | operation count = 1533
Lebogang Booi | operation count = 1534
Leano Beukes | operation count = 1399
Junior Motaung | operation count = 235
Leano Maseko | operation count = 1537
Amahle Maseko | operation count = 1538
Olothando Moloi | operation count = 444
Ava Motaung | operation count = 1540
Letlotlo Witbooi | operation count = 72
Lethokuhle Ngcobo | operation count = 833
Luke Molefe | operation count = 1543
Angel Petersen | operation count = 1544
Luphawu Adams | operation count = 1545
Letlotlo Petersen | operation count = 1163
Mia Booysen | operation count = 1547
Leah Mudau | operation count = 837
Rorisang Khumalo | operation count = 342
Remofilwe Molefe | operation count = 1550
Ofentse Ngcobo | operation count = 1551
Lingomso Motloung | operation count = 1552
Othalive Daniels | operation count = 1553
Bokamoso Moeng | operation count = 199
Ava Dlamini | operation count = 1555
Omaatla Nkuna | operation count = 1556
Lesedi Beukes | operation count = 1557
Esihle Mnisi | operation count = 180
Rethabile Mudau | operation count = 394
Bokang Khumalo | operation count = 248
Joshua Modise | operation count = 723
Omaatla Chauke | operation count = 1562
Alunamda Mofokeng | operation count = 1563
Hlelokuhle Olyn | operation count = 6
Noah Mkhize | operation count = 1473
Rethabile Ngobeni | operation count = 1566
Olothando Buthelezi | operation count = 1567
Ava Louw | operation count = 115
Lethabo Mahlangu | operation count = 1569
Minenhle Jacobs | operation count = 1570
Luthando Mudau | operation count = 827
Mpho Moloi | operation count = 1030
Bokamoso Malatji | operation count = 560
Omaatla Mofokeng | operation count = 265
Luthando Modise | operation count = 1575
Lisakhanya Malatji | operation count = 1576
Junior Khoza | operation count = 1310
Omphile Van | operation count = 1578
Noah Tshabalala | operation count = 146
Lwandle Daniels | operation count = 316
Lingomso Jack | operation count = 1581
Bokamoso Nkosi | operation count = 669
Elijah Tshabalala | operation count = 1460
Okuhle Williams | operation count = 1584
Amogelang Dlamini | operation count = 1585
Lethokuhle Chauke | operation count = 1586
Hlelokuhle Olyn | operation count = 1587
Likuwe Motloung | operation count = 715
Olerato Hendricks | operation count = 761
Alunamda Molefe | operation count = 1590
Sphesihle Mudau | operation count = 1591
Karabo Smith | operation count = 1592
