Banele Olyn | operation insert count 0 | operation find count = 3
Bonolo Abrahams | operation insert count 9 | operation find count = 15
Bokang Ndlovu | operation insert count 9 | operation find count = 21
Melokuhle Motaung | operation insert count 10 | operation find count = 21
Rorisang Jacobs | operation insert count 8 | operation find count = 23
Onthatile Louw | operation insert count 9 | operation find count = 23
Asemahle Beukes | operation insert count 8 | operation find count = 17
Bokamoso Mathebula | operation insert count 9 | operation find count = 21
Emihle Motloung | operation insert count 10 | operation find count = 23
Olothando Booysen | operation insert count 9 | operation find count = 19
Iminathi Adams | operation insert count 8 | operation find count = 15
Karabo Shabangu | operation insert count 9 | operation find count = 15
Amahle Olyn | operation insert count 8 | operation find count = 21
Siphesihle Jack | operation insert count 9 | operation find count = 17
Likuwe Abrahams | operation insert count 9 | operation find count = 21
Iminathi Buthelezi | operation insert count 9 | operation find count = 21
Alunamda Witbooi | operation insert count 9 | operation find count = 15
Nkosenhle Chauke | operation insert count 8 | operation find count = 23
Tshegofatso Van | operation insert count 8 | operation find count = 11
Philasande Buthelezi | operation insert count 9 | operation find count = 15
Siphosethu Hendricks | operation insert count 8 | operation find count = 19
Leano Maseko | operation insert count 9 | operation find count = 13
Karabo Modise | operation insert count 10 | operation find count = 15
Angel Peter | operation insert count 10 | operation find count = 15
Ava Van | operation insert count 9 | operation find count = 19
Lethokuhle Sithole | operation insert count 9 | operation find count = 21
Katlego Maluleke | operation insert count 9 | operation find count = 19
Lethokuhle Daniels | operation insert count 10 | operation find count = 21
Karabo Abrahams | operation insert count 9 | operation find count = 21
Amohelang Mahlangu | operation insert count 11 | operation find count = 15
Amohelang Ngcobo | operation insert count 8 | operation find count = 17
Leano Jack | operation insert count 9 | operation find count = 21
Thandolwethu Dyantyi | operation insert count 10 | operation find count = 21
Luphawu Molefe | operation insert count 9 | operation find count = 17
Siphesihle Mofokeng | operation insert count 10 | operation find count = 17
Rorisang Maluleke | operation insert count 10 | operation find count = 17
Ayabonga Radebe | operation insert count 11 | operation find count = 19
Luthando Shabangu | operation insert count 9 | operation find count = 13
Karabo Mokoena | operation insert count 10 | operation find count = 17
Melokuhle Dlamini | operation insert count 11 | operation find count = 19
Esihle Moloi | operation insert count 9 | operation find count = 21
Khayone Mogale | operation insert count 10 | operation find count = 21
Kamohelo Daniels | operation insert count 9 | operation find count = 21
Katlego Jack | operation insert count 10 | operation find count = 15
Mpho Williams | operation insert count 10 | operation find count = 17
Katleho Booysen | operation insert count 8 | operation find count = 19
Reatlegile Khoza | operation insert count 8 | operation find count = 17
Melokuhle Van | operation insert count 9 | operation find count = 19
Liam Klaas | operation insert count 4 | operation find count = 19
Bonolo Louw | operation insert count 4 | operation find count = 17
Lethokuhle Beukes | operation insert count 8 | operation find count = 19
Esihle Olyn | operation insert count 10 | operation find count = 19
Amogelang Ndou | operation insert count 9 | operation find count = 23
Angel Jacobs | operation insert count 8 | operation find count = 21
Oratilwe Mosia | operation insert count 9 | operation find count = 21
Bonolo Smith | operation insert count 9 | operation find count = 17
Isabella Louw | operation insert count 5 | operation find count = 21
Sphesihle Nhlapo | operation insert count 10 | operation find count = 13
Liam Mohlala | operation insert count 10 | operation find count = 21
Bayanda Maseko | operation insert count 9 | operation find count = 21
Esihle Nhlapo | operation insert count 9 | operation find count = 15
Likuwe Peter | operation insert count 10 | operation find count = 11
Katlego Jacobs | operation insert count 8 | operation find count = 19
Okuhle Mosia | operation insert count 10 | operation find count = 19
Luphawu Khumalo | operation insert count 9 | operation find count = 17
Omphile Baloyi | operation insert count 9 | operation find count = 23
Lebogang Baloyi | operation insert count 9 | operation find count = 19
Ayabonga Maluleke | operation insert count 9 | operation find count = 15
Amohelang Baloyi | operation insert count 8 | operation find count = 21
Omolemo Maseko | operation insert count 8 | operation find count = 19
Kamogelo Dlamini | operation insert count 8 | operation find count = 21
Oratilwe Petersen | operation insert count 10 | operation find count = 17
Phenyo Maseko | operation insert count 11 | operation find count = 17
Luphawu Tshabalala | operation insert count 9 | operation find count = 19
Philasande Moloi | operation insert count 11 | operation find count = 23
Aphelele Sithole | operation insert count 10 | operation find count = 19
Kungawo Tshabalala | operation insert count 9 | operation find count = 15
Asemahle Ngobeni | operation insert count 9 | operation find count = 21
Reatlegile Mudau | operation insert count 10 | operation find count = 21
Esihle Ngcobo | operation insert count 9 | operation find count = 17
Siphesihle Booi | operation insert count 9 | operation find count = 21
Enzokuhle Tsotetsi | operation insert count 10 | operation find count = 17
Ofentse Mathebula | operation insert count 10 | operation find count = 23
Karabo Nkuna | operation insert count 9 | operation find count = 19
Kungawo Mahlangu | operation insert count 10 | operation find count = 17
Omolemo Mahlangu | operation insert count 6 | operation find count = 13
Siyabonga Khoza | operation insert count 9 | operation find count = 15
Rorisang Booi | operation insert count 10 | operation find count = 17
Sphesihle Mthembu | operation insert count 10 | operation find count = 23
Joshua Ndou | operation insert count 11 | operation find count = 17
Phenyo Smith | operation insert count 10 | operation find count = 19
Luthando Ngobeni | operation insert count 9 | operation find count = 23
Lisakhanya Radebe | operation insert count 10 | operation find count = 17
Letlotlo Tsotetsi | operation insert count 9 | operation find count = 21
Siphosethu Nhlapo | operation insert count 10 | operation find count = 17
Kamohelo Ndou | operation insert count 10 | operation find count = 19
Noah Maluleke | operation insert count 10 | operation find count = 23
Warona Mnisi | operation insert count 9 | operation find count = 17
Ofentse Ngcobo | operation insert count 10 | operation find count = 11
Kungawo Tshabalala | operation insert count 10 | operation find count = 21
Siphosethu Ngobeni | operation insert count 9 | operation find count = 19
Aphelele Ndlovu | operation insert count 9 | operation find count = 17
Siphosethu Chauke | operation insert count 8 | operation find count = 21
Kamogelo Louw | operation insert count 9 | operation find count = 23
Lingomso Booysen | operation insert count 9 | operation find count = 21
Bokang Ngwenya | operation insert count 8 | operation find count = 21
Karabo Nkosi | operation insert count 10 | operation find count = 17
Katleho Khoza | operation insert count 9 | operation find count = 15
Ava Maseko | operation insert count 10 | operation find count = 15
Tshegofatso Mogale | operation insert count 11 | operation find count = 17
Ayabonga Maluleke | operation insert count 9 | operation find count = 15
Onthatile Smith | operation insert count 9 | operation find count = 19
Reneilwe Cloete | operation insert count 9 | operation find count = 21
Kamogelo Baloyi | operation insert count 9 | operation find count = 21
Esihle Davids | operation insert count 10 | operation find count = 17
Thandolwethu Mudau | operation insert count 10 | operation find count = 17
Katleho Mosia | operation insert count 9 | operation find count = 19
Okuhle Visagie | operation insert count 12 | operation find count = 19
Alunamda Klaas | operation insert count 9 | operation find count = 19
Leano Witbooi | operation insert count 10 | operation find count = 19
Reatlegile Modise | operation insert count 10 | operation find count = 17
Lesedi Radebe | operation insert count 9 | operation find count = 19
Karabo Nhlapo | operation insert count 10 | operation find count = 19
Omphile Smith | operation insert count 11 | operation find count = 21
Iminathi Gumede | operation insert count 9 | operation find count = 9
Thato Daniels | operation insert count 9 | operation find count = 21
Rorisang Jacobs | operation insert count 9 | operation find count = 15
Faith Motloung | operation insert count 10 | operation find count = 19
Amohelang Peter | operation insert count 10 | operation find count = 17
Rethabile Petersen | operation insert count 11 | operation find count = 15
Asemahle Beukes | operation insert count 8 | operation find count = 17
Lethokuhle Khumalo | operation insert count 9 | operation find count = 19
Bokang Smith | operation insert count 10 | operation find count = 17
Esihle Mnisi | operation insert count 10 | operation find count = 17
Mia Nkosi | operation insert count 10 | operation find count = 17
Thato Sithole | operation insert count 9 | operation find count = 19
Amohelang Ngwenya | operation insert count 9 | operation find count = 19
Naledi Shabangu | operation insert count 6 | operation find count = 15
Lethokuhle Ngwenya | operation insert count 9 | operation find count = 17
Siphesihle Maseko | operation insert count 9 | operation find count = 15
Onthatile Maluleke | operation insert count 11 | operation find count = 21
Esihle Witbooi | operation insert count 10 | operation find count = 19
Onthatile Maluleke | operation insert count 11 | operation find count = 17
Leano Peter | operation insert count 11 | operation find count = 15
Leano Peter | operation insert count 11 | operation find count = 15
Enzokuhle Tshabalala | operation insert count 10 | operation find count = 19
Karabo Nkuna | operation insert count 9 | operation find count = 19
Enzokuhle Visagie | operation insert count 9 | operation find count = 15
Aphelele Daniels | operation insert count 9 | operation find count = 19
Faith Jack | operation insert count 8 | operation find count = 19
Siphosethu Madikizela | operation insert count 11 | operation find count = 17
Amohelang Mudau | operation insert count 12 | operation find count = 21
Bokamoso Gumede | operation insert count 10 | operation find count = 21
Kamogelo Nhlapo | operation insert count 11 | operation find count = 11
Isabella Mahlangu | operation insert count 11 | operation find count = 19
Banele Moloi | operation insert count 10 | operation find count = 17
Omphile Mthembu | operation insert count 10 | operation find count = 19
Kungawo Ndou | operation insert count 10 | operation find count = 21
Enzokuhle Ngwenya | operation insert count 9 | operation find count = 19
Lwandle Visagie | operation insert count 9 | operation find count = 23
Alunamda Khoza | operation insert count 9 | operation find count = 19
Kungawo Khumalo | operation insert count 8 | operation find count = 23
Angel Peter | operation insert count 10 | operation find count = 17
Melokuhle Mokoena | operation insert count 9 | operation find count = 15
Angel Hendricks | operation insert count 8 | operation find count = 13
Minenhle Buthelezi | operation insert count 9 | operation find count = 23
Joshua Ndou | operation insert count 11 | operation find count = 21
Likuwe Radebe | operation insert count 10 | operation find count = 15
Karabo Jack | operation insert count 11 | operation find count = 19
Bayanda Sithole | operation insert count 9 | operation find count = 17
Nkosenhle Petersen | operation insert count 10 | operation find count = 9
Lethokuhle Visagie | operation insert count 10 | operation find count = 17
Iminathi Madikizela | operation insert count 11 | operation find count = 13
Karabo Abrahams | operation insert count 9 | operation find count = 17
Omaatla Molefe | operation insert count 10 | operation find count = 15
Ofentse Sithole | operation insert count 10 | operation find count = 17
Kamogelo Cloete | operation insert count 8 | operation find count = 15
Leah Mathebula | operation insert count 9 | operation find count = 19
Nkosenhle Mkhize | operation insert count 9 | operation find count = 15
Othalive Buthelezi | operation insert count 9 | operation find count = 23
Tshegofatso Williams | operation insert count 10 | operation find count = 17
Oratile Khoza | operation insert count 12 | operation find count = 21
Nkosenhle Mudau | operation insert count 10 | operation find count = 17
Thandolwethu Ndlovu | operation insert count 11 | operation find count = 25
Olerato Mofokeng | operation insert count 11 | operation find count = 13
Ava Klaas | operation insert count 9 | operation find count = 19
Reatlegile Peter | operation insert count 11 | operation find count = 17
Angel Van | operation insert count 9 | operation find count = 17
Lethabo Olyn | operation insert count 11 | operation find count = 19
Onthatile Modise | operation insert count 10 | operation find count = 17
Tshegofatso Moeng | operation insert count 9 | operation find count = 11
Siyabonga Mogale | operation insert count 11 | operation find count = 21
Faith Modise | operation insert count 10 | operation find count = 19
Amohelang Mahlangu | operation insert count 10 | operation find count = 19
Tshegofatso Adams | operation insert count 9 | operation find count = 23
Omphile Motloung | operation insert count 10 | operation find count = 21
Kamogelo Ngobeni | operation insert count 11 | operation find count = 17
Luphawu Petersen | operation insert count 11 | operation find count = 17
Omaatla Motloung | operation insert count 11 | operation find count = 19
Amohelang Dlamini | operation insert count 8 | operation find count = 19
Likuwe Mthembu | operation insert count 10 | operation find count = 21
Liam Booysen | operation insert count 10 | operation find count = 19
Karabo Shabangu | operation insert count 9 | operation find count = 15
Lingomso Booi | operation insert count 10 | operation find count = 13
Warona Mosia | operation insert count 10 | operation find count = 21
Relebohile Madikizela | operation insert count 7 | operation find count = 9
Melokuhle Modise | operation insert count 11 | operation find count = 19
Alunamda Shabangu | operation insert count 10 | operation find count = 17
Khayone Ngobeni | operation insert count 11 | operation find count = 19
Amogelang Moeng | operation insert count 10 | operation find count = 21
Amahle Malatji | operation insert count 9 | operation find count = 13
Melokuhle Peter | operation insert count 11 | operation find count = 15
Naledi Khoza | operation insert count 10 | operation find count = 21
Asemahle Khumalo | operation insert count 11 | operation find count = 21
Angel Mosia | operation insert count 9 | operation find count = 13
Kamohelo Mofokeng | operation insert count 11 | operation find count = 15
Isabella Khumalo | operation insert count 11 | operation find count = 19
Nkosenhle Ngwenya | operation insert count 8 | operation find count = 17
Sphesihle Nhlapo | operation insert count 10 | operation find count = 13
Iminathi Gumede | operation insert count 9 | operation find count = 9
Katlego Moloi | operation insert count 10 | operation find count = 25
Karabo Molefe | operation insert count 11 | operation find count = 15
Isabella Mathebula | operation insert count 10 | operation find count = 19
Karabo Tshabalala | operation insert count 9 | operation find count = 19
Lingomso Maseko | operation insert count 9 | operation find count = 15
Olothando Petersen | operation insert count 10 | operation find count = 17
Lingomso Peter | operation insert count 10 | operation find count = 15
Karabo Mnisi | operation insert count 10 | operation find count = 17
Omphile Dlamini | operation insert count 10 | operation find count = 15
Omphile Mnisi | operation insert count 8 | operation find count = 19
Amogelang Booysen | operation insert count 11 | operation find count = 21
Othalive Maseko | operation insert count 10 | operation find count = 19
Lingomso Nkosi | operation insert count 10 | operation find count = 15
Kungawo Mogale | operation insert count 11 | operation find count = 17
Caleb Abrahams | operation insert count 11 | operation find count = 23
Bokamoso Mathebula | operation insert count 10 | operation find count = 17
Amohelang Tsotetsi | operation insert count 8 | operation find count = 21
Lethokuhle Abrahams | operation insert count 10 | operation find count = 19
Lethabo Mogale | operation insert count 11 | operation find count = 21
Aphelele Louw | operation insert count 8 | operation find count = 15
Oratilwe Petersen | operation insert count 10 | operation find count = 11
Letlotlo Ngobeni | operation insert count 11 | operation find count = 23
Othalive Baloyi | operation insert count 10 | operation find count = 19
Isabella Booysen | operation insert count 9 | operation find count = 17
Melokuhle Radebe | operation insert count 9 | operation find count = 17
Bokamoso Louw | operation insert count 10 | operation find count = 21
Amogelang Nhlapo | operation insert count 6 | operation find count = 15
Tshegofatso Adams | operation insert count 11 | operation find count = 21
Karabo Louw | operation insert count 11 | operation find count = 19
Lesedi Nkuna | operation insert count 8 | operation find count = 17
Khayone Moloi | operation insert count 11 | operation find count = 19
Asemahle Olyn | operation insert count 10 | operation find count = 21
Kamohelo Ngobeni | operation insert count 10 | operation find count = 23
Katlego Mohlala | operation insert count 12 | operation find count = 19
Phenyo Maseko | operation insert count 11 | operation find count = 17
Omphile Mkhize | operation insert count 9 | operation find count = 17
Ava Motaung | operation insert count 10 | operation find count = 19
Kamogelo Nhlapo | operation insert count 10 | operation find count = 17
Lesedi Mohlala | operation insert count 11 | operation find count = 21
Lesedi Jacobs | operation insert count 9 | operation find count = 23
Lubanzi Hendricks | operation insert count 9 | operation find count = 23
Leano Baloyi | operation insert count 10 | operation find count = 21
Kamogelo Nhlapo | operation insert count 10 | operation find count = 17
Leano Maseko | operation insert count 10 | operation find count = 19
Lubanzi Moloi | operation insert count 10 | operation find count = 23
Rethabile Jacobs | operation insert count 10 | operation find count = 19
Relebohile Mohlala | operation insert count 11 | operation find count = 17
Omaatla Booi | operation insert count 10 | operation find count = 15
Amogelang Khoza | operation insert count 11 | operation find count = 25
Iminathi Adams | operation insert count 10 | operation find count = 19
Jayden Moeng | operation insert count 10 | operation find count = 19
Blessing Ngcobo | operation insert count 8 | operation find count = 19
Banele Mnisi | operation insert count 10 | operation find count = 21
Amogelang Mahlangu | operation insert count 11 | operation find count = 21
Bokamoso Mahlangu | operation insert count 10 | operation find count = 19
Mia Van | operation insert count 8 | operation find count = 15
Ofentse Klaas | operation insert count 10 | operation find count = 19
Othalive Daniels | operation insert count 10 | operation find count = 21
Ava Tsotetsi | operation insert count 9 | operation find count = 21
Ayabonga Ngwenya | operation insert count 8 | operation find count = 23
Luphawu Nkosi | operation insert count 10 | operation find count = 19
Melokuhle Booysen | operation insert count 11 | operation find count = 21
Tshegofatso Motaung | operation insert count 10 | operation find count = 23
Bandile Visagie | operation insert count 9 | operation find count = 21
Emihle Madikizela | operation insert count 11 | operation find count = 19
Isabella Abrahams | operation insert count 11 | operation find count = 19
Hlelokuhle Dlamini | operation insert count 10 | operation find count = 15
Katlego Peter | operation insert count 10 | operation find count = 17
Philasande Modise | operation insert count 10 | operation find count = 19
Sphesihle Mudau | operation insert count 11 | operation find count = 19
Bokamoso Booi | operation insert count 9 | operation find count = 19
Naledi Davids | operation insert count 11 | operation find count = 19
Omaatla Hendricks | operation insert count 9 | operation find count = 21
Karabo Nkuna | operation insert count 9 | operation find count = 19
Likuwe Peter | operation insert count 10 | operation find count = 11
Esihle Jacobs | operation insert count 10 | operation find count = 19
Iminathi Daniels | operation insert count 10 | operation find count = 21
Liam Ngcobo | operation insert count 9 | operation find count = 17
Katleho Gumede | operation insert count 11 | operation find count = 21
Omaatla Ngcobo | operation insert count 9 | operation find count = 23
Kungawo Mthembu | operation insert count 10 | operation find count = 15
Bokamoso Cloete | operation insert count 11 | operation find count = 19
Phenyo Moeng | operation insert count 11 | operation find count = 19
Iminathi Mnisi | operation insert count 10 | operation find count = 19
Lethokuhle Mudau | operation insert count 10 | operation find count = 21
Amohelang Maseko | operation insert count 10 | operation find count = 21
Lisakhanya Motloung | operation insert count 10 | operation find count = 19
Rorisang Gumede | operation insert count 11 | operation find count = 17
Emihle Nkosi | operation insert count 9 | operation find count = 15
Jayden Witbooi | operation insert count 10 | operation find count = 17
Omolemo Mathebula | operation insert count 11 | operation find count = 23
Oratilwe Mofokeng | operation insert count 10 | operation find count = 19
Liam Maseko | operation insert count 10 | operation find count = 19
Banele Hendricks | operation insert count 8 | operation find count = 19
Lubanzi Mofokeng | operation insert count 11 | operation find count = 17
Okuhle Cloete | operation insert count 10 | operation find count = 21
Luthando Sithole | operation insert count 9 | operation find count = 21
Siphosethu Visagie | operation insert count 8 | operation find count = 15
Karabo Mathebula | operation insert count 11 | operation find count = 17
Aphelele Ngobeni | operation insert count 10 | operation find count = 23
Lethokuhle Tshabalala | operation insert count 7 | operation find count = 17
Noah Tsotetsi | operation insert count 8 | operation find count = 19
Siphosethu Jacobs | operation insert count 11 | operation find count = 21
Lubanzi Mohlala | operation insert count 11 | operation find count = 17
Amogelang Witbooi | operation insert count 9 | operation find count = 21
Leano Ngobeni | operation insert count 11 | operation find count = 21
Olerato Peter | operation insert count 11 | operation find count = 17
Phenyo Abrahams | operation insert count 9 | operation find count = 15
Oratile Tshabalala | operation insert count 9 | operation find count = 19
Siphosethu Petersen | operation insert count 9 | operation find count = 13
Katlego Mkhize | operation insert count 10 | operation find count = 15
Omaatla Dlamini | operation insert count 10 | operation find count = 19
Likuwe Olyn | operation insert count 11 | operation find count = 17
Leah Khumalo | operation insert count 10 | operation find count = 19
Siyabonga Ngobeni | operation insert count 9 | operation find count = 21
Luke Khoza | operation insert count 11 | operation find count = 21
Lwandle Ngcobo | operation insert count 10 | operation find count = 21
Alunamda Gumede | operation insert count 10 | operation find count = 19
Amohelang Beukes | operation insert count 10 | operation find count = 23
Esihle Jack | operation insert count 11 | operation find count = 21
Olerato Tsotetsi | operation insert count 4 | operation find count = 7
Omaatla Jack | operation insert count 10 | operation find count = 21
Leah Hendricks | operation insert count 5 | operation find count = 15
Omphile Chauke | operation insert count 9 | operation find count = 23
Lethokuhle Van | operation insert count 8 | operation find count = 23
Phenyo Williams | operation insert count 9 | operation find count = 19
Iminathi Cloete | operation insert count 11 | operation find count = 21
Joshua Malatji | operation insert count 10 | operation find count = 19
Phenyo Beukes | operation insert count 9 | operation find count = 21
Isabella Tsotetsi | operation insert count 9 | operation find count = 19
Karabo Moeng | operation insert count 11 | operation find count = 21
Amohelang Williams | operation insert count 9 | operation find count = 23
Lethokuhle Mudau | operation insert count 11 | operation find count = 19
Angel Petersen | operation insert count 10 | operation find count = 17
Naledi Witbooi | operation insert count 10 | operation find count = 23
Esihle Nhlapo | operation insert count 10 | operation find count = 17
Leano Abrahams | operation insert count 10 | operation find count = 21
Lingomso Jacobs | operation insert count 11 | operation find count = 21
Lwandle Mohlala | operation insert count 12 | operation find count = 23
Ofentse Madikizela | operation insert count 10 | operation find count = 19
Karabo Adams | operation insert count 9 | operation find count = 19
Noah Mudau | operation insert count 11 | operation find count = 13
Siyabonga Jacobs | operation insert count 11 | operation find count = 23
Naledi Dyantyi | operation insert count 9 | operation find count = 17
Hlelokuhle Nhlapo | operation insert count 9 | operation find count = 19
Warona Klaas | operation insert count 11 | operation find count = 19
Omaatla Moloi | operation insert count 10 | operation find count = 23
Omolemo Maluleke | operation insert count 9 | operation find count = 23
Melokuhle Mokoena | operation insert count 9 | operation find count = 15
Karabo Ngobeni | operation insert count 10 | operation find count = 21
Kamohelo Louw | operation insert count 11 | operation find count = 21
Bokamoso Booi | operation insert count 10 | operation find count = 23
Lingomso Jacobs | operation insert count 12 | operation find count = 19
Okuhle Nkosi | operation insert count 9 | operation find count = 19
Phenyo Mahlangu | operation insert count 11 | operation find count = 21
Mpho Peter | operation insert count 11 | operation find count = 17
Tshegofatso Mudau | operation insert count 11 | operation find count = 23
Melokuhle Moeng | operation insert count 10 | operation find count = 21
Likuwe Mthembu | operation insert count 10 | operation find count = 21
Reatlegile Molefe | operation insert count 9 | operation find count = 17
Ofentse Moeng | operation insert count 10 | operation find count = 17
Lebogang Louw | operation insert count 11 | operation find count = 17
Relebohile Cloete | operation insert count 8 | operation find count = 17
Othalive Ngcobo | operation insert count 10 | operation find count = 19
Sphesihle Nhlapo | operation insert count 10 | operation find count = 13
Lingomso Daniels | operation insert count 11 | operation find count = 19
Bandile Modise | operation insert count 10 | operation find count = 15
Nkosenhle Mathebula | operation insert count 11 | operation find count = 21
Omolemo Tsotetsi | operation insert count 8 | operation find count = 19
Lebogang Nkuna | operation insert count 9 | operation find count = 23
Luthando Motloung | operation insert count 11 | operation find count = 19
Joshua Ngwenya | operation insert count 8 | operation find count = 21
Nkosenhle Smith | operation insert count 9 | operation find count = 21
Lethokuhle Mkhize | operation insert count 10 | operation find count = 17
Reneilwe Malatji | operation insert count 9 | operation find count = 19
Oratilwe Smith | operation insert count 9 | operation find count = 21
Alunamda Klaas | operation insert count 11 | operation find count = 21
Karabo Beukes | operation insert count 10 | operation find count = 15
Kamogelo Madikizela | operation insert count 11 | operation find count = 21
Kamogelo Peter | operation insert count 11 | operation find count = 13
Asemahle Mudau | operation insert count 11 | operation find count = 17
Lethabo Maseko | operation insert count 11 | operation find count = 17
Naledi Van | operation insert count 9 | operation find count = 21
Lethabo Jack | operation insert count 6 | operation find count = 17
Luphawu Malatji | operation insert count 9 | operation find count = 21
Junior Louw | operation insert count 10 | operation find count = 23
Noah Baloyi | operation insert count 10 | operation find count = 21
Blessing Ngobeni | operation insert count 9 | operation find count = 23
Lesedi Jack | operation insert count 11 | operation find count = 19
Asemahle Dlamini | operation insert count 12 | operation find count = 21
Leano Maseko | operation insert count 9 | operation find count = 13
Khayone Moloi | operation insert count 11 | operation find count = 19
Leah Mathebula | operation insert count 11 | operation find count = 21
Alunamda Moloi | operation insert count 11 | operation find count = 19
Omaatla Mogale | operation insert count 11 | operation find count = 17
Bandile Modise | operation insert count 10 | operation find count = 15
Onthatile Maseko | operation insert count 10 | operation find count = 21
Asemahle Mokoena | operation insert count 10 | operation find count = 13
Siphesihle Mnisi | operation insert count 10 | operation find count = 23
Lebogang Khumalo | operation insert count 7 | operation find count = 15
Asemahle Nkosi | operation insert count 10 | operation find count = 19
Banele Motaung | operation insert count 11 | operation find count = 23
Remofilwe Modise | operation insert count 10 | operation find count = 19
Lubanzi Mahlangu | operation insert count 12 | operation find count = 19
Katlego Maseko | operation insert count 11 | operation find count = 19
Reatlegile Modise | operation insert count 10 | operation find count = 17
Melokuhle Jacobs | operation insert count 12 | operation find count = 25
Bonolo Booi | operation insert count 10 | operation find count = 21
Asemahle Beukes | operation insert count 8 | operation find count = 17
Leano Khoza | operation insert count 11 | operation find count = 19
Amogelang Louw | operation insert count 11 | operation find count = 23
Reneilwe Khoza | operation insert count 10 | operation find count = 19
Onthatile Ndou | operation insert count 10 | operation find count = 21
Reatlegile Motaung | operation insert count 10 | operation find count = 23
Amahle Olyn | operation insert count 8 | operation find count = 21
Rorisang Khoza | operation insert count 11 | operation find count = 21
Rethabile Davids | operation insert count 10 | operation find count = 19
Liam Radebe | operation insert count 9 | operation find count = 17
Hlelokuhle Modise | operation insert count 10 | operation find count = 17
Leah Ngcobo | operation insert count 9 | operation find count = 19
Kamohelo Khoza | operation insert count 11 | operation find count = 23
Emihle Mogale | operation insert count 11 | operation find count = 21
Omaatla Maseko | operation insert count 10 | operation find count = 21
Onthatile Motaung | operation insert count 11 | operation find count = 19
Mpho Moeng | operation insert count 11 | operation find count = 21
Omphile Mnisi | operation insert count 10 | operation find count = 17
Bokamoso Adams | operation insert count 10 | operation find count = 21
Reneilwe Mohlala | operation insert count 11 | operation find count = 21
Tshegofatso Ngwenya | operation insert count 9 | operation find count = 19
Lingomso Madikizela | operation insert count 11 | operation find count = 21
Warona Mkhize | operation insert count 10 | operation find count = 15
Bokamoso Ngobeni | operation insert count 10 | operation find count = 19
Lwandle Abrahams | operation insert count 10 | operation find count = 21
Kungawo Abrahams | operation insert count 10 | operation find count = 23
Luke Motloung | operation insert count 10 | operation find count = 23
Enzokuhle Molefe | operation insert count 11 | operation find count = 19
Enzokuhle Gumede | operation insert count 10 | operation find count = 19
Relebohile Mathebula | operation insert count 10 | operation find count = 23
Ofentse Mkhize | operation insert count 9 | operation find count = 17
Leano Modise | operation insert count 10 | operation find count = 19
Luke Ngobeni | operation insert count 9 | operation find count = 23
Lesedi Ngwenya | operation insert count 11 | operation find count = 19
Sphesihle Petersen | operation insert count 11 | operation find count = 17
Reneilwe Tshabalala | operation insert count 10 | operation find count = 15
Othalive Maseko | operation insert count 11 | operation find count = 21
Onthatile Chauke | operation insert count 10 | operation find count = 21
Lethokuhle Williams | operation insert count 9 | operation find count = 21
Tshegofatso Booi | operation insert count 11 | operation find count = 19
Rorisang Madikizela | operation insert count 10 | operation find count = 21
Luphawu Louw | operation insert count 11 | operation find count = 19
Bokamoso Booi | operation insert count 9 | operation find count = 19
Bonolo Smith | operation insert count 9 | operation find count = 17
Kungawo Mudau | operation insert count 9 | operation find count = 17
Bokamoso Moloi | operation insert count 11 | operation find count = 23
Esihle Davids | operation insert count 10 | operation find count = 17
Naledi Klaas | operation insert count 11 | operation find count = 21
Siyabonga Khumalo | operation insert count 11 | operation find count = 23
Bokang Ndou | operation insert count 11 | operation find count = 21
Ofentse Modise | operation insert count 11 | operation find count = 15
Reneilwe Tshabalala | operation insert count 10 | operation find count = 15
Siyabonga Mnisi | operation insert count 8 | operation find count = 19
Letlotlo Petersen | operation insert count 10 | operation find count = 21
Enzokuhle Ngcobo | operation insert count 10 | operation find count = 19
Kamogelo Nkuna | operation insert count 10 | operation find count = 21
Enzokuhle Visagie | operation insert count 9 | operation find count = 15
Esihle Olyn | operation insert count 11 | operation find count = 21
Lethokuhle Chauke | operation insert count 10 | operation find count = 23
Onthatile Nkuna | operation insert count 9 | operation find count = 19
Siyabonga Jacobs | operation insert count 12 | operation find count = 19
Isabella Abrahams | operation insert count 11 | operation find count = 23
Lingomso Beukes | operation insert count 10 | operation find count = 21
Omaatla Booi | operation insert count 11 | operation find count = 21
Sphesihle Klaas | operation insert count 11 | operation find count = 21
Katlego Maseko | operation insert count 11 | operation find count = 19
Siphosethu Mogale | operation insert count 11 | operation find count = 19
Bonolo Ndou | operation insert count 12 | operation find count = 21
Siphosethu Chauke | operation insert count 8 | operation find count = 21
Oratile Abrahams | operation insert count 9 | operation find count = 21
Bokamoso Modise | operation insert count 11 | operation find count = 19
Bonolo Mathebula | operation insert count 10 | operation find count = 19
Mia Motloung | operation insert count 11 | operation find count = 17
Lwandle Ndlovu | operation insert count 11 | operation find count = 17
Caleb Maluleke | operation insert count 9 | operation find count = 17
Lebogang Khoza | operation insert count 11 | operation find count = 21
Kamohelo Klaas | operation insert count 11 | operation find count = 19
Hlelokuhle Dlamini | operation insert count 10 | operation find count = 15
Caleb Radebe | operation insert count 11 | operation find count = 17
Othalive Radebe | operation insert count 9 | operation find count = 19
Omaatla Buthelezi | operation insert count 10 | operation find count = 21
Karabo Visagie | operation insert count 9 | operation find count = 19
Amogelang Mthembu | operation insert count 10 | operation find count = 19
