Nkosenhle Radebe | operation insert count 0 | operation find count = 3
Lebogang Petersen | operation insert count 9 | operation find count = 17
Luke Mahlangu | operation insert count 10 | operation find count = 21
Luthando Tsotetsi | operation insert count 9 | operation find count = 15
Olothando Buthelezi | operation insert count 11 | operation find count = 19
Emihle Mohlala | operation insert count 10 | operation find count = 21
Leano Ndlovu | operation insert count 9 | operation find count = 19
Omolemo Motaung | operation insert count 8 | operation find count = 19
Olothando Radebe | operation insert count 9 | operation find count = 19
Kamohelo Ngobeni | operation insert count 8 | operation find count = 19
Angel Petersen | operation insert count 8 | operation find count = 17
Luphawu Ndou | operation insert count 9 | operation find count = 9
Olerato Booi | operation insert count 10 | operation find count = 15
Sphesihle Radebe | operation insert count 10 | operation find count = 13
Luke Malatji | operation insert count 10 | operation find count = 19
Warona Tshabalala | operation insert count 10 | operation find count = 17
Luke Tshabalala | operation insert count 10 | operation find count = 17
Melokuhle Madikizela | operation insert count 10 | operation find count = 21
Melokuhle Dyantyi | operation insert count 10 | operation find count = 11
Othalive Mosia | operation insert count 8 | operation find count = 17
Letlotlo Mthembu | operation insert count 8 | operation find count = 19
Siphesihle Radebe | operation insert count 10 | operation find count = 17
Lethabo Nkuna | operation insert count 9 | operation find count = 17
Lethabo Mogale | operation insert count 9 | operation find count = 19
Lingomso Maseko | operation insert count 10 | operation find count = 19
Remofilwe Van | operation insert count 8 | operation find count = 15
Warona Nkuna | operation insert count 8 | operation find count = 19
Emihle Petersen | operation insert count 9 | operation find count = 15
Iminathi Gumede | operation insert count 4 | operation find count = 9
Asemahle Mathebula | operation insert count 9 | operation find count = 15
Bandile Davids | operation insert count 8 | operation find count = 17
Omaatla Nkuna | operation insert count 8 | operation find count = 17
Mia Louw | operation insert count 9 | operation find count = 15
Remofilwe Mogale | operation insert count 10 | operation find count = 19
Melokuhle Witbooi | operation insert count 9 | operation find count = 15
Siphosethu Buthelezi | operation insert count 10 | operation find count = 19
Lethokuhle Visagie | operation insert count 8 | operation find count = 13
Kungawo Daniels | operation insert count 8 | operation find count = 15
Elijah Jack | operation insert count 10 | operation find count = 21
Olerato Modise | operation insert count 10 | operation find count = 17
Reneilwe Mudau | operation insert count 10 | operation find count = 19
Omphile Smith | operation insert count 8 | operation find count = 19
Katlego Klaas | operation insert count 9 | operation find count = 15
Katlego Modise | operation insert count 4 | operation find count = 5
Aphelele Tsotetsi | operation insert count 9 | operation find count = 17
Othalive Nkuna | operation insert count 9 | operation find count = 19
Sphesihle Abrahams | operation insert count 9 | operation find count = 15
Oratilwe Tsotetsi | operation insert count 7 | operation find count = 15
Bokang Ndou | operation insert count 9 | operation find count = 19
Kamogelo Dlamini | operation insert count 10 | operation find count = 17
Lingomso Maseko | operation insert count 10 | operation find count = 21
Lubanzi Motloung | operation insert count 9 | operation find count = 19
Omaatla Dlamini | operation insert count 9 | operation find count = 17
Phenyo Smith | operation insert count 9 | operation find count = 15
Warona Mogale | operation insert count 11 | operation find count = 21
Phenyo Moeng | operation insert count 10 | operation find count = 21
Lesedi Khumalo | operation insert count 7 | operation find count = 17
Iminathi Madikizela | operation insert count 10 | operation find count = 11
Amogelang Khumalo | operation insert count 10 | operation find count = 19
Amohelang Buthelezi | operation insert count 10 | operation find count = 17
Lingomso Booysen | operation insert count 9 | operation find count = 19
Angel Visagie | operation insert count 7 | operation find count = 15
Remofilwe Williams | operation insert count 8 | operation find count = 15
Banele Radebe | operation insert count 8 | operation find count = 19
Joshua Jack | operation insert count 9 | operation find count = 19
Warona Davids | operation insert count 8 | operation find count = 15
Liam Tsotetsi | operation insert count 8 | operation find count = 17
Phenyo Molefe | operation insert count 11 | operation find count = 23
Phenyo Mohlala | operation insert count 10 | operation find count = 19
Leah Mudau | operation insert count 10 | operation find count = 19
Bokamoso Cloete | operation insert count 8 | operation find count = 21
Lesedi Molefe | operation insert count 11 | operation find count = 19
Luke Cloete | operation insert count 10 | operation find count = 19
Leano Williams | operation insert count 9 | operation find count = 13
Remofilwe Chauke | operation insert count 10 | operation find count = 21
Onthatile Sithole | operation insert count 7 | operation find count = 7
Khayone Williams | operation insert count 9 | operation find count = 17
Lethokuhle Maluleke | operation insert count 10 | operation find count = 15
Alunamda Van | operation insert count 9 | operation find count = 17
Luke Nkosi | operation insert count 9 | operation find count = 19
Lethokuhle Chauke | operation insert count 8 | operation find count = 17
Katlego Gumede | operation insert count 9 | operation find count = 19
Katlego Nkosi | operation insert count 8 | operation find count = 17
Omolemo Booysen | operation insert count 9 | operation find count = 19
Olerato Booi | operation insert count 10 | operation find count = 15
Enzokuhle Radebe | operation insert count 8 | operation find count = 17
Junior Sithole | operation insert count 9 | operation find count = 17
Naledi Ngwenya | operation insert count 9 | operation find count = 17
Jayden Mudau | operation insert count 10 | operation find count = 21
Olothando Nkosi | operation insert count 9 | operation find count = 19
Aphelele Baloyi | operation insert count 9 | operation find count = 17
Kungawo Modise | operation insert count 11 | operation find count = 19
Melokuhle Dyantyi | operation insert count 10 | operation find count = 11
Reneilwe Mohlala | operation insert count 9 | operation find count = 19
Lisakhanya Mogale | operation insert count 10 | operation find count = 17
Hlelokuhle Mthembu | operation insert count 8 | operation find count = 11
Khayone Sithole | operation insert count 9 | operation find count = 17
Melokuhle Louw | operation insert count 8 | operation find count = 11
Noah Visagie | operation insert count 9 | operation find count = 17
Ofentse Mnisi | operation insert count 10 | operation find count = 19
Luke Mokoena | operation insert count 10 | operation find count = 21
Lwandle Moloi | operation insert count 10 | operation find count = 21
Omaatla Moloi | operation insert count 10 | operation find count = 19
Iminathi Ndou | operation insert count 10 | operation find count = 17
Kungawo Motloung | operation insert count 10 | operation find count = 17
Bokang Maluleke | operation insert count 11 | operation find count = 19
Lesedi Nkosi | operation insert count 9 | operation find count = 19
Siphesihle Modise | operation insert count 10 | operation find count = 21
Blessing Petersen | operation insert count 8 | operation find count = 17
Bokang Ngobeni | operation insert count 9 | operation find count = 15
Remofilwe Modise | operation insert count 11 | operation find count = 19
Okuhle Nhlapo | operation insert count 11 | operation find count = 19
Amohelang Williams | operation insert count 8 | operation find count = 17
Lingomso Davids | operation insert count 8 | operation find count = 17
Iminathi Cloete | operation insert count 10 | operation find count = 21
Onthatile Shabangu | operation insert count 9 | operation find count = 15
Olerato Mnisi | operation insert count 10 | operation find count = 23
Thato Witbooi | operation insert count 9 | operation find count = 15
Esihle Mnisi | operation insert count 11 | operation find count = 19
Isabella Peter | operation insert count 9 | operation find count = 19
Tshegofatso Witbooi | operation insert count 9 | operation find count = 17
Amohelang Molefe | operation insert count 11 | operation find count = 17
Likuwe Ngwenya | operation insert count 10 | operation find count = 21
Mpho Petersen | operation insert count 10 | operation find count = 17
Bandile Ndlovu | operation insert count 10 | operation find count = 19
Olerato Mogale | operation insert count 11 | operation find count = 21
Tshegofatso Petersen | operation insert count 8 | operation find count = 19
Onthatile Hendricks | operation insert count 8 | operation find count = 17
Letlotlo Jack | operation insert count 10 | operation find count = 21
Kungawo Molefe | operation insert count 10 | operation find count = 21
Kungawo Van | operation insert count 8 | operation find count = 19
Bokamoso Radebe | operation insert count 9 | operation find count = 19
Omphile Radebe | operation insert count 10 | operation find count = 15
Hlelokuhle Mnisi | operation insert count 11 | operation find count = 23
Ava Chauke | operation insert count 9 | operation find count = 21
Omphile Visagie | operation insert count 9 | operation find count = 17
Luke Mahlangu | operation insert count 11 | operation find count = 19
Relebohile Nkosi | operation insert count 8 | operation find count = 15
Karabo Mahlangu | operation insert count 10 | operation find count = 21
Alunamda Daniels | operation insert count 9 | operation find count = 17
Jayden Madikizela | operation insert count 11 | operation find count = 19
Reneilwe Mkhize | operation insert count 10 | operation find count = 17
Lubanzi Klaas | operation insert count 10 | operation find count = 17
Enzokuhle Hendricks | operation insert count 10 | operation find count = 15
Sphesihle Gumede | operation insert count 9 | operation find count = 17
Iminathi Mosia | operation insert count 11 | operation find count = 21
Mia Dyantyi | operation insert count 10 | operation find count = 17
Siphosethu Smith | operation insert count 9 | operation find count = 17
Omolemo Tshabalala | operation insert count 8 | operation find count = 17
Bokamoso Witbooi | operation insert count 8 | operation find count = 17
Oratile Petersen | operation insert count 10 | operation find count = 19
Philasande Tshabalala | operation insert count 8 | operation find count = 15
Lethokuhle Visagie | operation insert count 8 | operation find count = 13
Ava Malatji | operation insert count 10 | operation find count = 15
Siphesihle Jack | operation insert count 10 | operation find count = 17
Siphesihle Dlamini | operation insert count 8 | operation find count = 17
Alunamda Nkosi | operation insert count 9 | operation find count = 17
Warona Mkhize | operation insert count 10 | operation find count = 19
Emihle Khumalo | operation insert count 10 | operation find count = 21
Alunamda Shabangu | operation insert count 9 | operation find count = 17
Caleb Shabangu | operation insert count 9 | operation find count = 17
Letlotlo Klaas | operation insert count 10 | operation find count = 19
Leah Madikizela | operation insert count 11 | operation find count = 19
Phenyo Tsotetsi | operation insert count 8 | operation find count = 17
Kungawo Maluleke | operation insert count 9 | operation find count = 19
Leano Van | operation insert count 9 | operation find count = 15
Oratilwe Madikizela | operation insert count 10 | operation find count = 21
Amogelang Baloyi | operation insert count 10 | operation find count = 19
Asemahle Abrahams | operation insert count 9 | operation find count = 19
Blessing Ndlovu | operation insert count 10 | operation find count = 21
Bokamoso Khoza | operation insert count 10 | operation find count = 19
Liam Booysen | operation insert count 9 | operation find count = 21
Melokuhle Baloyi | operation insert count 10 | operation find count = 19
Luthando Tsotetsi | operation insert count 9 | operation find count = 15
Mpho Booysen | operation insert count 10 | operation find count = 21
Enzokuhle Ngcobo | operation insert count 10 | operation find count = 17
Amohelang Ngobeni | operation insert count 9 | operation find count = 19
Bokang Motaung | operation insert count 10 | operation find count = 21
Asemahle Motloung | operation insert count 9 | operation find count = 19
Omaatla Visagie | operation insert count 9 | operation find count = 15
Lisakhanya Maluleke | operation insert count 9 | operation find count = 19
Amohelang Tshabalala | operation insert count 7 | operation find count = 17
Hlelokuhle Shabangu | operation insert count 6 | operation find count = 11
Jayden Adams | operation insert count 9 | operation find count = 15
Alwande Dyantyi | operation insert count 9 | operation find count = 19
Joshua Ndou | operation insert count 10 | operation find count = 15
Asemahle Nkosi | operation insert count 9 | operation find count = 19
Noah Malatji | operation insert count 11 | operation find count = 21
Amahle Mnisi | operation insert count 11 | operation find count = 23
Liam Buthelezi | operation insert count 9 | operation find count = 19
Enzokuhle Radebe | operation insert count 10 | operation find count = 21
Bandile Olyn | operation insert count 8 | operation find count = 15
Lebogang Maseko | operation insert count 10 | operation find count = 21
Bokamoso Mofokeng | operation insert count 10 | operation find count = 21
Okuhle Mathebula | operation insert count 8 | operation find count = 17
Reatlegile Louw | operation insert count 10 | operation find count = 17
Hlelokuhle Malatji | operation insert count 10 | operation find count = 19
Isabella Motaung | operation insert count 10 | operation find count = 21
Rorisang Buthelezi | operation insert count 11 | operation find count = 17
Luke Jack | operation insert count 9 | operation find count = 19
Lethabo Mokoena | operation insert count 10 | operation find count = 17
Leano Modise | operation insert count 11 | operation find count = 21
Angel Louw | operation insert count 10 | operation find count = 17
Asemahle Beukes | operation insert count 9 | operation find count = 17
Remofilwe Jack | operation insert count 11 | operation find count = 19
Lethokuhle Beukes | operation insert count 9 | operation find count = 17
Luphawu Mogale | operation insert count 11 | operation find count = 21
Lebogang Nkuna | operation insert count 6 | operation find count = 13
Lethabo Mudau | operation insert count 11 | operation find count = 21
Lesedi Madikizela | operation insert count 11 | operation find count = 21
Angel Nkosi | operation insert count 10 | operation find count = 19
Bayanda Jacobs | operation insert count 10 | operation find count = 17
Katlego Ngwenya | operation insert count 9 | operation find count = 19
Tshegofatso Ndou | operation insert count 8 | operation find count = 17
Leah Ngcobo | operation insert count 10 | operation find count = 19
Kungawo Abrahams | operation insert count 9 | operation find count = 17
Olothando Moloi | operation insert count 11 | operation find count = 21
Bonolo Tshabalala | operation insert count 9 | operation find count = 15
Ayabonga Radebe | operation insert count 10 | operation find count = 17
Olothando Beukes | operation insert count 10 | operation find count = 21
Elijah Motloung | operation insert count 10 | operation find count = 21
Enzokuhle Gumede | operation insert count 9 | operation find count = 15
Siyabonga Mokoena | operation insert count 11 | operation find count = 19
Lubanzi Nhlapo | operation insert count 10 | operation find count = 21
Likuwe Williams | operation insert count 9 | operation find count = 13
Thato Witbooi | operation insert count 9 | operation find count = 15
Oratilwe Mogale | operation insert count 11 | operation find count = 23
Kungawo Daniels | operation insert count 8 | operation find count = 15
Omaatla Klaas | operation insert count 10 | operation find count = 17
Joshua Cloete | operation insert count 9 | operation find count = 21
Sphesihle Mthembu | operation insert count 10 | operation find count = 17
Thandolwethu Mudau | operation insert count 10 | operation find count = 21
Olerato Madikizela | operation insert count 11 | operation find count = 19
Reatlegile Hendricks | operation insert count 10 | operation find count = 21
Reatlegile Peter | operation insert count 10 | operation find count = 17
Thandolwethu Ndlovu | operation insert count 10 | operation find count = 15
Bayanda Gumede | operation insert count 10 | operation find count = 19
Leah Abrahams | operation insert count 10 | operation find count = 19
Lesedi Hendricks | operation insert count 8 | operation find count = 13
Reneilwe Mkhize | operation insert count 10 | operation find count = 17
Naledi Gumede | operation insert count 10 | operation find count = 17
Minenhle Mthembu | operation insert count 9 | operation find count = 19
Olothando Nkuna | operation insert count 9 | operation find count = 19
Liam Mohlala | operation insert count 10 | operation find count = 17
Lebogang Khoza | operation insert count 10 | operation find count = 19
Katlego Adams | operation insert count 9 | operation find count = 17
Bonolo Klaas | operation insert count 9 | operation find count = 19
Melokuhle Witbooi | operation insert count 9 | operation find count = 15
Blessing Shabangu | operation insert count 9 | operation find count = 19
Ofentse Witbooi | operation insert count 9 | operation find count = 19
Noah Visagie | operation insert count 9 | operation find count = 17
Amahle Mosia | operation insert count 12 | operation find count = 17
Tshegofatso Mogale | operation insert count 11 | operation find count = 23
Junior Booi | operation insert count 11 | operation find count = 19
Enzokuhle Nhlapo | operation insert count 9 | operation find count = 19
Omphile Dlamini | operation insert count 8 | operation find count = 15
Noah Ndou | operation insert count 10 | operation find count = 15
Leah Beukes | operation insert count 10 | operation find count = 19
Joshua Baloyi | operation insert count 9 | operation find count = 19
Hlelokuhle Dlamini | operation insert count 9 | operation find count = 19
Hlelokuhle Abrahams | operation insert count 10 | operation find count = 17
Onthatile Baloyi | operation insert count 10 | operation find count = 17
Likuwe Ndlovu | operation insert count 10 | operation find count = 19
Omaatla Moloi | operation insert count 11 | operation find count = 21
Likuwe Dyantyi | operation insert count 10 | operation find count = 19
Oratilwe Adams | operation insert count 9 | operation find count = 17
Enzokuhle Tshabalala | operation insert count 10 | operation find count = 17
Onthatile Baloyi | operation insert count 11 | operation find count = 19
Noah Khumalo | operation insert count 10 | operation find count = 13
Remofilwe Adams | operation insert count 9 | operation find count = 19
Lebogang Williams | operation insert count 8 | operation find count = 15
Ava Radebe | operation insert count 10 | operation find count = 21
Lebogang Cloete | operation insert count 10 | operation find count = 17
Melokuhle Maluleke | operation insert count 10 | operation find count = 17
Kamogelo Nhlapo | operation insert count 10 | operation find count = 21
Olerato Booi | operation insert count 11 | operation find count = 19
Jayden Madikizela | operation insert count 11 | operation find count = 17
Katlego Tsotetsi | operation insert count 9 | operation find count = 15
Lingomso Sithole | operation insert count 10 | operation find count = 19
Melokuhle Hendricks | operation insert count 10 | operation find count = 17
Reneilwe Gumede | operation insert count 10 | operation find count = 15
Lesedi Radebe | operation insert count 10 | operation find count = 17
Lethabo Mokoena | operation insert count 11 | operation find count = 21
Remofilwe Van | operation insert count 8 | operation find count = 15
Bonolo Tshabalala | operation insert count 9 | operation find count = 15
Tshegofatso Maseko | operation insert count 12 | operation find count = 21
Kamohelo Shabangu | operation insert count 8 | operation find count = 15
Phenyo Shabangu | operation insert count 10 | operation find count = 19
Reneilwe Mohlala | operation insert count 10 | operation find count = 17
Lethabo Booysen | operation insert count 10 | operation find count = 19
Lethokuhle Gumede | operation insert count 7 | operation find count = 19
Onthatile Adams | operation insert count 9 | operation find count = 19
Nkosenhle Mosia | operation insert count 9 | operation find count = 19
Phenyo Sithole | operation insert count 8 | operation find count = 17
Remofilwe Gumede | operation insert count 10 | operation find count = 19
Katleho Smith | operation insert count 9 | operation find count = 15
Siphesihle Ngobeni | operation insert count 9 | operation find count = 19
Onthatile Ndou | operation insert count 11 | operation find count = 17
Alunamda Ndou | operation insert count 10 | operation find count = 17
Omolemo Radebe | operation insert count 10 | operation find count = 19
Iminathi Madikizela | operation insert count 10 | operation find count = 21
Bonolo Tshabalala | operation insert count 9 | operation find count = 19
Remofilwe Mnisi | operation insert count 10 | operation find count = 19
Lingomso Maluleke | operation insert count 10 | operation find count = 21
Lwandle Baloyi | operation insert count 10 | operation find count = 21
Bokamoso Witbooi | operation insert count 8 | operation find count = 17
Leano Ndlovu | operation insert count 9 | operation find count = 19
Siphesihle Nkosi | operation insert count 8 | operation find count = 19
Leah Visagie | operation insert count 9 | operation find count = 19
Bokamoso Booi | operation insert count 11 | operation find count = 19
Banele Moeng | operation insert count 11 | operation find count = 21
Kamogelo Nkuna | operation insert count 9 | operation find count = 19
Mia Louw | operation insert count 9 | operation find count = 15
Othalive Smith | operation insert count 9 | operation find count = 19
Ava Louw | operation insert count 9 | operation find count = 19
Minenhle Jacobs | operation insert count 10 | operation find count = 17
Onthatile Mudau | operation insert count 10 | operation find count = 19
Katlego Buthelezi | operation insert count 9 | operation find count = 19
Alunamda Baloyi | operation insert count 10 | operation find count = 21
Iminathi Khoza | operation insert count 10 | operation find count = 17
Sphesihle Mthembu | operation insert count 10 | operation find count = 17
Katleho Gumede | operation insert count 11 | operation find count = 17
Katlego Malatji | operation insert count 10 | operation find count = 17
Noah Ndou | operation insert count 11 | operation find count = 19
Siphosethu Modise | operation insert count 11 | operation find count = 23
Siphesihle Daniels | operation insert count 8 | operation find count = 13
Amogelang Klaas | operation insert count 11 | operation find count = 19
Lethabo Hendricks | operation insert count 10 | operation find count = 21
Mpho Petersen | operation insert count 10 | operation find count = 17
Okuhle Booysen | operation insert count 11 | operation find count = 23
Iminathi Mofokeng | operation insert count 10 | operation find count = 21
Alunamda Molefe | operation insert count 11 | operation find count = 21
Angel Peter | operation insert count 9 | operation find count = 19
Siphesihle Mathebula | operation insert count 11 | operation find count = 21
Hlelokuhle Nkosi | operation insert count 9 | operation find count = 19
Omphile Beukes | operation insert count 11 | operation find count = 19
Ava Peter | operation insert count 9 | operation find count = 19
Reneilwe Booysen | operation insert count 11 | operation find count = 23
Siphesihle Mnisi | operation insert count 11 | operation find count = 21
Remofilwe Visagie | operation insert count 9 | operation find count = 19
Karabo Modise | operation insert count 10 | operation find count = 17
Sphesihle Mohlala | operation insert count 10 | operation find count = 21
Esihle Tsotetsi | operation insert count 9 | operation find count = 19
Esihle Jacobs | operation insert count 9 | operation find count = 19
Khayone Buthelezi | operation insert count 9 | operation find count = 19
Lethabo Mofokeng | operation insert count 11 | operation find count = 21
Banele Olyn | operation insert count 9 | operation find count = 19
Rethabile Molefe | operation insert count 11 | operation find count = 21
Oratilwe Smith | operation insert count 10 | operation find count = 17
Bokamoso Smith | operation insert count 10 | operation find count = 17
Enzokuhle Madikizela | operation insert count 10 | operation find count = 17
Liam Dlamini | operation insert count 8 | operation find count = 17
Okuhle Nkosi | operation insert count 9 | operation find count = 19
Isabella Mokoena | operation insert count 11 | operation find count = 19
Mia Khumalo | operation insert count 11 | operation find count = 19
Lesedi Tsotetsi | operation insert count 9 | operation find count = 19
Ofentse Ngwenya | operation insert count 10 | operation find count = 21
Rorisang Peter | operation insert count 10 | operation find count = 21
Ofentse Gumede | operation insert count 10 | operation find count = 19
Thato Mkhize | operation insert count 11 | operation find count = 21
Siphesihle Booi | operation insert count 10 | operation find count = 19
Rorisang Jacobs | operation insert count 10 | operation find count = 21
Bandile Cloete | operation insert count 10 | operation find count = 19
Leah Abrahams | operation insert count 10 | operation find count = 21
Khayone Daniels | operation insert count 9 | operation find count = 19
Melokuhle Khoza | operation insert count 10 | operation find count = 21
Lethokuhle Chauke | operation insert count 10 | operation find count = 21
Angel Sithole | operation insert count 10 | operation find count = 19
Minenhle Olyn | operation insert count 11 | operation find count = 21
Onthatile Buthelezi | operation insert count 10 | operation find count = 19
Amahle Khoza | operation insert count 11 | operation find count = 19
Lethokuhle Shabangu | operation insert count 9 | operation find count = 19
Amahle Maseko | operation insert count 10 | operation find count = 21
Reneilwe Motaung | operation insert count 10 | operation find count = 19
Oratilwe Hendricks | operation insert count 10 | operation find count = 19
Thato Daniels | operation insert count 8 | operation find count = 17
Omphile Mnisi | operation insert count 11 | operation find count = 21
Karabo Maseko | operation insert count 10 | operation find count = 21
Lwandle Cloete | operation insert count 10 | operation find count = 21
Khayone Mofokeng | operation insert count 10 | operation find count = 21
Ofentse Van | operation insert count 9 | operation find count = 17
Karabo Van | operation insert count 9 | operation find count = 17
Tshegofatso Molefe | operation insert count 12 | operation find count = 23
Reneilwe Mudau | operation insert count 10 | operation find count = 19
Faith Khoza | operation insert count 11 | operation find count = 21
Enzokuhle Maseko | operation insert count 10 | operation find count = 21
Olothando Nkosi | operation insert count 10 | operation find count = 17
Leano Williams | operation insert count 9 | operation find count = 17
Esihle Ngcobo | operation insert count 10 | operation find count = 21
Hlelokuhle Gumede | operation insert count 10 | operation find count = 17
Asemahle Mokoena | operation insert count 11 | operation find count = 21
Omaatla Moloi | operation insert count 11 | operation find count = 21
Bonolo Smith | operation insert count 10 | operation find count = 19
Kungawo Mathebula | operation insert count 10 | operation find count = 17
Melokuhle Adams | operation insert count 9 | operation find count = 19
Bayanda Booi | operation insert count 11 | operation find count = 21
Khayone Davids | operation insert count 9 | operation find count = 13
Liam Smith | operation insert count 10 | operation find count = 19
Isabella Adams | operation insert count 9 | operation find count = 19
Emihle Van | operation insert count 10 | operation find count = 19
Liam Klaas | operation insert count 10 | operation find count = 21
Okuhle Madikizela | operation insert count 11 | operation find count = 21
Kamogelo Madikizela | operation insert count 11 | operation find count = 21
Amogelang Nkuna | operation insert count 10 | operation find count = 21
Reatlegile Khumalo | operation insert count 10 | operation find count = 19
Omphile Sithole | operation insert count 10 | operation find count = 17
Okuhle Nhlapo | operation insert count 11 | operation find count = 19
Katlego Moloi | operation insert count 8 | operation find count = 17
Elijah Mosia | operation insert count 12 | operation find count = 23
Tshegofatso Jack | operation insert count 11 | operation find count = 21
Remofilwe Abrahams | operation insert count 10 | operation find count = 19
Ofentse Jacobs | operation insert count 10 | operation find count = 21
Jayden Visagie | operation insert count 9 | operation find count = 19
Omaatla Williams | operation insert count 9 | operation find count = 17
Thandolwethu Mthembu | operation insert count 11 | operation find count = 21
Ofentse Ndlovu | operation insert count 10 | operation find count = 21
Oratilwe Khumalo | operation insert count 11 | operation find count = 21
Melokuhle Maluleke | operation insert count 10 | operation find count = 17
Reatlegile Modise | operation insert count 11 | operation find count = 23
Katlego Ndou | operation insert count 10 | operation find count = 17
Oratilwe Buthelezi | operation insert count 10 | operation find count = 21
Amahle Ndlovu | operation insert count 10 | operation find count = 21
Naledi Tsotetsi | operation insert count 9 | operation find count = 19
Leah Davids | operation insert count 9 | operation find count = 17
Luke Mahlangu | operation insert count 11 | operation find count = 19
Kungawo Mathebula | operation insert count 10 | operation find count = 19
Melokuhle Mogale | operation insert count 11 | operation find count = 19
Amogelang Klaas | operation insert count 11 | operation find count = 19
Lisakhanya Ndou | operation insert count 10 | operation find count = 19
Thandolwethu Jacobs | operation insert count 10 | operation find count = 21
Lwandle Molefe | operation insert count 10 | operation find count = 21
Olothando Radebe | operation insert count 10 | operation find count = 17
Hlelokuhle Mudau | operation insert count 11 | operation find count = 19
Reneilwe Ngobeni | operation insert count 9 | operation find count = 21
Bokamoso Radebe | operation insert count 10 | operation find count = 21
Luthando Jack | operation insert count 7 | operation find count = 13
Alunamda Ndou | operation insert count 10 | operation find count = 17
Tshegofatso Booi | operation insert count 11 | operation find count = 21
Bokang Ngobeni | operation insert count 10 | operation find count = 19
Amohelang Ngcobo | operation insert count 9 | operation find count = 21
Lingomso Olyn | operation insert count 11 | operation find count = 19
Lingomso Dlamini | operation insert count 9 | operation find count = 19
Phenyo Mahlangu | operation insert count 10 | operation find count = 17
Bokamoso Visagie | operation insert count 9 | operation find count = 13
Bayanda Ngobeni | operation insert count 11 | operation find count = 21
Omolemo Mofokeng | operation insert count 11 | operation find count = 23
Katlego Gumede | operation insert count 9 | operation find count = 19
Lisakhanya Mohlala | operation insert count 10 | operation find count = 19
Lisakhanya Mathebula | operation insert count 9 | operation find count = 19
Kungawo Mkhize | operation insert count 9 | operation find count = 19
Melokuhle Motaung | operation insert count 10 | operation find count = 21
Relebohile Ngcobo | operation insert count 10 | operation find count = 21
Karabo Modise | operation insert count 11 | operation find count = 21
Iminathi Mkhize | operation insert count 10 | operation find count = 21
Liam Davids | operation insert count 9 | operation find count = 15
Luthando Khumalo | operation insert count 10 | operation find count = 21
Siphesihle Radebe | operation insert count 10 | operation find count = 17
Amohelang Mudau | operation insert count 11 | operation find count = 19
Relebohile Daniels | operation insert count 8 | operation find count = 17
Olothando Petersen | operation insert count 9 | operation find count = 19
Onthatile Mnisi | operation insert count 12 | operation find count = 23
Lesedi Mogale | operation insert count 10 | operation find count = 21
Rorisang Louw | operation insert count 8 | operation find count = 13
Siphesihle Khumalo | operation insert count 10 | operation find count = 21
Ofentse Smith | operation insert count 10 | operation find count = 21
Noah Daniels | operation insert count 8 | operation find count = 17
Reatlegile Madikizela | operation insert count 9 | operation find count = 19
Khayone Ngobeni | operation insert count 11 | operation find count = 21
Ayabonga Visagie | operation insert count 9 | operation find count = 17
Kungawo Abrahams | operation insert count 9 | operation find count = 17
Bokamoso Moeng | operation insert count 12 | operation find count = 23
Omaatla Buthelezi | operation insert count 10 | operation find count = 21
Omolemo Baloyi | operation insert count 11 | operation find count = 21
Amohelang Williams | operation insert count 8 | operation find count = 17
Katlego Mahlangu | operation insert count 10 | operation find count = 21
Emihle Ngwenya | operation insert count 10 | operation find count = 21
Mpho Booi | operation insert count 11 | operation find count = 21
Othalive Witbooi | operation insert count 10 | operation find count = 17
Leah Cloete | operation insert count 11 | operation find count = 21
Iminathi Smith | operation insert count 10 | operation find count = 21
Bandile Cloete | operation insert count 10 | operation find count = 19
Karabo Maseko | operation insert count 9 | operation find count = 19
Relebohile Mudau | operation insert count 10 | operation find count = 21
Lubanzi Visagie | operation insert count 10 | operation find count = 19
Omphile Davids | operation insert count 10 | operation find count = 17
Onthatile Maluleke | operation insert count 10 | operation find count = 17
Katlego Mathebula | operation insert count 6 | operation find count = 13
Lebogang Khoza | operation insert count 10 | operation find count = 19
Tshegofatso Buthelezi | operation insert count 10 | operation find count = 21
